chr	start	end	strand	type	id	geneName	geneId	numberOfTranscripts	canonicalTranscriptLength	transcriptId	cdsLength	numerOfExons	exonRank	exonSpliceType
gi|559794742|gb|CP003248.2|	2203632	2208632	+1	Upstream	CCP44726	Rv1958c	Rv1958c	1	615	CCP44726	615	1		
gi|559794742|gb|CP003248.2|	2203632	2208632	+1	Upstream	CCP44726	Rv1958c	Rv1958c	1	615	CCP44726	615	1		
gi|559794742|gb|CP003248.2|	2203977	2208977	+1	Upstream	CCP44727	parE1	Rv1959c	1	297	CCP44727	297	1		
gi|559794742|gb|CP003248.2|	2203977	2208977	+1	Upstream	CCP44727	parE1	Rv1959c	1	297	CCP44727	297	1		
gi|559794742|gb|CP003248.2|	2204225	2209225	+1	Upstream	CCP44728	parD1	Rv1960c	1	252	CCP44728	252	1		
gi|559794742|gb|CP003248.2|	2204225	2209225	+1	Upstream	CCP44728	parD1	Rv1960c	1	252	CCP44728	252	1		
gi|559794742|gb|CP003248.2|	2204326	2209326	+1	Upstream	CCP44735	mce3A	Rv1966	1	1278	CCP44735	1278	1		
gi|559794742|gb|CP003248.2|	2204326	2209326	+1	Upstream	CCP44735	mce3A	Rv1966	1	1278	CCP44735	1278	1		
gi|559794742|gb|CP003248.2|	2204706	2209706	+1	Downstream	CCP44729	Rv1961	Rv1961	1	495	CCP44729	495	1		
gi|559794742|gb|CP003248.2|	2204706	2209706	+1	Downstream	CCP44729	Rv1961	Rv1961	1	495	CCP44729	495	1		
gi|559794742|gb|CP003248.2|	2205273	2210273	+1	Upstream	CCP44730	vapC35	Rv1962c	1	408	CCP44730	408	1		
gi|559794742|gb|CP003248.2|	2205273	2210273	+1	Upstream	CCP44730	vapC35	Rv1962c	1	408	CCP44730	408	1		
gi|559794742|gb|CP003248.2|	2205549	2210549	+1	Upstream	CCP44731	vapB35	Rv1962A	1	273	CCP44731	273	1		
gi|559794742|gb|CP003248.2|	2205549	2210549	+1	Upstream	CCP44731	vapB35	Rv1962A	1	273	CCP44731	273	1		
gi|559794742|gb|CP003248.2|	2205600	2210600	+1	Upstream	CCP44736	mce3B	Rv1967	1	1029	CCP44736	1029	1		
gi|559794742|gb|CP003248.2|	2205600	2210600	+1	Upstream	CCP44736	mce3B	Rv1967	1	1029	CCP44736	1029	1		
gi|559794742|gb|CP003248.2|	2206625	2211625	+1	Upstream	CCP44737	mce3C	Rv1968	1	1233	CCP44737	1233	1		
gi|559794742|gb|CP003248.2|	2206625	2211625	+1	Upstream	CCP44737	mce3C	Rv1968	1	1233	CCP44737	1233	1		
gi|559794742|gb|CP003248.2|	2206802	2211802	+1	Upstream	CCP44732	mce3R	Rv1963c	1	1221	CCP44732	1221	1		
gi|559794742|gb|CP003248.2|	2206802	2211802	+1	Upstream	CCP44732	mce3R	Rv1963c	1	1221	CCP44732	1221	1		
gi|559794742|gb|CP003248.2|	2207854	2212854	+1	Upstream	CCP44738	mce3D	Rv1969	1	1272	CCP44738	1272	1		
gi|559794742|gb|CP003248.2|	2207854	2212854	+1	Upstream	CCP44738	mce3D	Rv1969	1	1272	CCP44738	1272	1		
gi|559794742|gb|CP003248.2|	2208497	2213497	+1	Downstream	CCP44733	yrbE3A	Rv1964	1	798	CCP44733	798	1		
gi|559794742|gb|CP003248.2|	2208497	2213497	+1	Downstream	CCP44733	yrbE3A	Rv1964	1	798	CCP44733	798	1		
gi|559794742|gb|CP003248.2|	2208506	2209322	+1	Gene	Rv1965	yrbE3B	Rv1965	1	816					
gi|559794742|gb|CP003248.2|	2208506	2209322	+1	Transcript	CCP44734	yrbE3B	Rv1965	1	816	CCP44734	816	1		
gi|559794742|gb|CP003248.2|	2208506	2209322	+1	Cds	CDS_gi|559794742|gb|CP003248.2|_2208507_2209319	yrbE3B	Rv1965	1	816	CCP44734	816	1		
gi|559794742|gb|CP003248.2|	2208506	2209322	+1	Exon	exon_gi|559794742|gb|CP003248.2|_2208507_2209322	yrbE3B	Rv1965	1	816	CCP44734	816	1	1	RETAINED
gi|559794742|gb|CP003248.2|	1091821	1096821	+1	Upstream	CCP43731	mprA	Rv0981	1	687	CCP43731	687	1		
gi|559794742|gb|CP003248.2|	1091821	1096821	+1	Upstream	CCP43731	mprA	Rv0981	1	687	CCP43731	687	1		
gi|559794742|gb|CP003248.2|	1092507	1097507	+1	Upstream	CCP43732	mprB	Rv0982	1	1515	CCP43732	1515	1		
gi|559794742|gb|CP003248.2|	1092507	1097507	+1	Upstream	CCP43732	mprB	Rv0982	1	1515	CCP43732	1515	1		
gi|559794742|gb|CP003248.2|	1093144	1098144	+1	Downstream	CCP43726	PE_PGRS16	Rv0977	1	2772	CCP43726	2772	1		
gi|559794742|gb|CP003248.2|	1093144	1098144	+1	Downstream	CCP43726	PE_PGRS16	Rv0977	1	2772	CCP43726	2772	1		
gi|559794742|gb|CP003248.2|	1094065	1099065	+1	Upstream	CCP43733	pepD	Rv0983	1	1395	CCP43733	1395	1		
gi|559794742|gb|CP003248.2|	1094065	1099065	+1	Upstream	CCP43733	pepD	Rv0983	1	1395	CCP43733	1395	1		
gi|559794742|gb|CP003248.2|	1094356	1099356	+1	Upstream	CCP43727	PE_PGRS17	Rv0978c	1	996	CCP43727	996	1		
gi|559794742|gb|CP003248.2|	1094356	1099356	+1	Upstream	CCP43727	PE_PGRS17	Rv0978c	1	996	CCP43727	996	1		
gi|559794742|gb|CP003248.2|	1094864	1099864	+1	Upstream	CCP43728	Rv0979c	Rv0979c	1	195	CCP43728	195	1		
gi|559794742|gb|CP003248.2|	1094864	1099864	+1	Upstream	CCP43728	Rv0979c	Rv0979c	1	195	CCP43728	195	1		
gi|559794742|gb|CP003248.2|	1095059	1100059	+1	Downstream	CCP43729	rpmF	Rv0979A	1	174	CCP43729	174	1		
gi|559794742|gb|CP003248.2|	1095059	1100059	+1	Downstream	CCP43729	rpmF	Rv0979A	1	174	CCP43729	174	1		
gi|559794742|gb|CP003248.2|	1095459	1100459	+1	Upstream	CCP43734	moaB2	Rv0984	1	546	CCP43734	546	1		
gi|559794742|gb|CP003248.2|	1095459	1100459	+1	Upstream	CCP43734	moaB2	Rv0984	1	546	CCP43734	546	1		
gi|559794742|gb|CP003248.2|	1096024	1101024	+1	Downstream	CCP43735	mscL	Rv0985c	1	456	CCP43735	456	1		
gi|559794742|gb|CP003248.2|	1096024	1101024	+1	Downstream	CCP43735	mscL	Rv0985c	1	456	CCP43735	456	1		
gi|559794742|gb|CP003248.2|	1096451	1096821	+1	Intergenic	PE_PGRS18...mprA									
gi|559794742|gb|CP003248.2|	1096451	1096821	+1	Intergenic	PE_PGRS18...mprA									
gi|559794742|gb|CP003248.2|	1096451	1101451	+1	Upstream	CCP43730	PE_PGRS18	Rv0980c	1	1374	CCP43730	1374	1		
gi|559794742|gb|CP003248.2|	1096451	1101451	+1	Upstream	CCP43730	PE_PGRS18	Rv0980c	1	1374	CCP43730	1374	1		
gi|559794742|gb|CP003248.2|	1096802	1101802	+1	Upstream	CCP43736	Rv0986	Rv0986	1	747	CCP43736	747	1		
gi|559794742|gb|CP003248.2|	1096802	1101802	+1	Upstream	CCP43736	Rv0986	Rv0986	1	747	CCP43736	747	1		
gi|559794742|gb|CP003248.2|	579694	584694	+1	Upstream	CCP43229	Rv0494	Rv0494	1	729	CCP43229	729	1		
gi|559794742|gb|CP003248.2|	579694	584694	+1	Upstream	CCP43229	Rv0494	Rv0494	1	729	CCP43229	729	1		
gi|559794742|gb|CP003248.2|	580423	585423	+1	Downstream	CCP43230	Rv0495c	Rv0495c	1	891	CCP43230	891	1		
gi|559794742|gb|CP003248.2|	580423	585423	+1	Downstream	CCP43230	Rv0495c	Rv0495c	1	891	CCP43230	891	1		
gi|559794742|gb|CP003248.2|	580581	585581	+1	Downstream	CCP43224	senX3	Rv0490	1	1233	CCP43224	1233	1		
gi|559794742|gb|CP003248.2|	580581	585581	+1	Downstream	CCP43224	senX3	Rv0490	1	1233	CCP43224	1233	1		
gi|559794742|gb|CP003248.2|	581393	586393	+1	Upstream	CCP43231	Rv0496	Rv0496	1	987	CCP43231	987	1		
gi|559794742|gb|CP003248.2|	581393	586393	+1	Upstream	CCP43231	Rv0496	Rv0496	1	987	CCP43231	987	1		
gi|559794742|gb|CP003248.2|	581492	586492	+1	Downstream	CCP43225	regX3	Rv0491	1	684	CCP43225	684	1		
gi|559794742|gb|CP003248.2|	581492	586492	+1	Downstream	CCP43225	regX3	Rv0491	1	684	CCP43225	684	1		
gi|559794742|gb|CP003248.2|	582376	587376	+1	Upstream	CCP43232	Rv0497	Rv0497	1	933	CCP43232	933	1		
gi|559794742|gb|CP003248.2|	582376	587376	+1	Upstream	CCP43232	Rv0497	Rv0497	1	933	CCP43232	933	1		
gi|559794742|gb|CP003248.2|	583324	588324	+1	Upstream	CCP43233	Rv0498	Rv0498	1	843	CCP43233	843	1		
gi|559794742|gb|CP003248.2|	583324	588324	+1	Upstream	CCP43233	Rv0498	Rv0498	1	843	CCP43233	843	1		
gi|559794742|gb|CP003248.2|	583378	588378	+1	Upstream	CCP43226	Rv0492c	Rv0492c	1	1890	CCP43226	1890	1		
gi|559794742|gb|CP003248.2|	583378	588378	+1	Upstream	CCP43226	Rv0492c	Rv0492c	1	1890	CCP43226	1890	1		
gi|559794742|gb|CP003248.2|	583700	584690	-1	Gene	Rv0493c	Rv0493c	Rv0493c	1	990					
gi|559794742|gb|CP003248.2|	583700	584690	-1	Transcript	CCP43228	Rv0493c	Rv0493c	1	990	CCP43228	990	1		
gi|559794742|gb|CP003248.2|	583700	584690	-1	Cds	stop_codon_gi|559794742|gb|CP003248.2|_583701_583703	Rv0493c	Rv0493c	1	990	CCP43228	990	1		
gi|559794742|gb|CP003248.2|	583700	584690	-1	Exon	exon_gi|559794742|gb|CP003248.2|_583701_584690	Rv0493c	Rv0493c	1	990	CCP43228	990	1	1	RETAINED
gi|559794742|gb|CP003248.2|	583704	588704	+1	Upstream	CCP43227	Rv0492A	Rv0492A	1	330	CCP43227	330	1		
