"RvNumber"	"Mtnumber"	"Gene_Symbol"	"Gene_Description"
"NA;NA;NA"	NA	NA	NA
"Rv0001"	"MT0001"	"dnaA"	"chromosomal replication initiator protein"
"Rv0002"	"MT0002"	"dnaN"	"DNA polymerase III, [beta] subunit"
"Rv0003"	"MT0003"	"recF"	"DNA replication and SOS induction"
"Rv0004"	"MT0004"	"Rv0004"	"conserved hypothetical protein"
"Rv0005"	"MT0005"	"gyrB"	"DNA gyrase subunit B"
"Rv0006"	"MT0006"	"gyrA"	"DNA gyrase subunit A"
"Rv0007"	NA	"Rv0007"	"conserved hypothetical protein"
"Rv0008c"	"MT0010"	"Rv0008c"	"hypothetical protein"
"Rv0009"	"MT0011"	"ppiA"	"peptidyl-prolyl cis-trans isomerase"
"Rv0010c"	"MT0013"	"Rv0010c"	"hypothetical protein"
"Rv0011c"	"MT0014"	"Rv0011c"	"hypothetical protein"
"Rv0012"	"MT0015"	"Rv0012"	"possible cell division protein"
"Rv0013"	"MT0016"	"pabA"	"p-aminobenzoate synthase glutamine amidotransferase"
"Rv0014c"	"MT0017"	"pknB"	"serine-threonine protein kinase"
"Rv0015c"	"MT0018"	"pknA"	"serine-threonine protein kinase"
"Rv0016c"	"MT0019"	"pbpA"	"penicillin-binding protein"
"Rv0017c"	"MT0020"	"rodA"	"FtsW/RodA/SpovE family"
"Rv0018c"	"MT0021"	"ppp"	"putative phosphoprotein phosphatase"
"Rv0019c"	"MT0022"	"Rv0019c"	"conserved hypothetical protein"
"Rv0020c;Rv0020c"	NA	NA	NA
"Rv0021c"	"MT0024"	"Rv0021c"	"conserved hypothetical protein"
"Rv0022c"	NA	"Rv0022c"	"conserved hypothetical protein"
"Rv0023"	"MT0026"	"Rv0023"	"putative transcriptional regulator"
"Rv0024"	"MT0027"	"Rv0024"	"putative p60 homologue"
"Rv0025"	"MT0028"	"Rv0025"	"conserved hypothetical protein"
"Rv0026"	"MT0029"	"Rv0026"	"conserved hypothetical protein"
"Rv0027"	"MT0030"	"Rv0027"	"conserved hypothetical protein"
"Rv0028"	NA	"Rv0028"	"hypothetical protein"
