Group	Name	Start	End	Length	strand	gene	locus_tag	experiment	inference	note	codon_start	transl_table	product	protein_id	db_xref	gene_synonym	pseudogene	pseudo	mobile_element_type	ncRNA_class	organism	mol_type	strain	anticodon
CDS	CDS	1	1524	1524	+	dnaA	Rv0001	EXISTENCE: identified in proteomics study	protein motif:PROSITE:PS01008	Rv0001, (MT0001, MTV029.01, P49993), len: 507 aa. dnaA, chromosomal replication initiator protein (see citations below), equivalent to other Mycobacterial chromosomal replication initiator proteins. Also highly similar to others except in N-terminus e.g. Q9ZH75|DNAA_STRCH chromosomal replication initiator protein from Streptomyces chrysomallus (624 aa). Contains PS00017 ATP/GTP-binding site motif A (P-loop) and PS01008 DnaA protein signature. Belongs to the DnaA family. Note that the first base of this gene has been taken as base 1 of the Mycobacterium tuberculosis H37Rv genomic sequence.	1	11	Chromosomal replication initiator protein DnaA	CCP42723.1	UniProtKB/Swiss-Prot:P49993	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	2052	3260	1209	+	dnaN	Rv0002	EXISTENCE: identified in proteomics study	NA	Rv0002, (MTV029.02, MTCY10H4.0), len: 402 aa. DnaN,DNA polymerase III (beta chain) (see citations below),equivalent to other Mycobacterial DNA polymerases III beta chain. Also highly similar to others e.g. P27903|DP3B_STRCO DNA polymerase III beta chain from Streptomyces coelicolor (376 aa). Overlaps and extends CDS in neighbouring cosmid MTCY10H4.01.	1	11	DNA polymerase III (beta chain) DnaN (DNA nucleotidyltransferase)	CCP42724.1	UniProtKB/Swiss-Prot:Q50790	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	3280	4437	1158	+	recF	Rv0003	EXISTENCE: identified in proteomics study	protein motif:PROSITE:PS00618	Rv0003, (MTCY10H4.01), len: 385 aa. RecF, DNA replication and repair protein (see citations below),equivalent to other mycobacterial DNA replication and repair proteins. Also highly similar to many others. Contains PS00017 ATP/GTP-binding site motif A (P-loop),PS00617 RecF protein signature 1, and PS00618 RecF protein signature 2. Belongs to the RecF family.	1	11	DNA replication and repair protein RecF (single-strand DNA binding protein)	CCP42725.1	UniProtKB/Swiss-Prot:Q59586	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	4434	4997	564	+	NA	Rv0004	NA	NA	"Rv0004, (MTCY10H4.02), len: 187 aa. Conserved hypothetical protein (see Salazar et al., 1996). Belongs to superfamily DUF721; this family contains several actinomycete proteins of unknown function."	1	11	Conserved hypothetical protein	CCP42726.1	UniProtKB/Swiss-Prot:P71573	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	5240	7267	2028	+	gyrB	Rv0005	EXISTENCE: identified in proteomics study	protein motif:PROSITE:PS00177	Rv0005, (MTCY10H4.03), len: 675 aa. GyrB, DNA gyrase subunit B (see citations below). Contains PS00177 DNA topoisomerase II signature. Belongs to the type II topoisomerase family. Start changed since first submission (-39 aa).	1	11	DNA gyrase (subunit B) GyrB (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	CCP42727.1	UniProtKB/Swiss-Prot:P0C5C5	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	7302	9818	2517	+	gyrA	Rv0006	EXISTENCE: identified in proteomics study	protein motif:PROSITE:PS00018	Rv0006, (MTCY10H4.04), len: 838 aa. GyrA, DNA gyrase subunit A (see citations below). Contains PS00018 EF-hand calcium-binding domain.	1	11	DNA gyrase (subunit A) GyrA (DNA topoisomerase (ATP-hydrolysing)) (DNA topoisomerase II) (type II DNA topoisomerase)	CCP42728.1	UniProtKB/Swiss-Prot:Q07702	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	9914	10828	915	+	NA	Rv0007	EXISTENCE: identified in proteomics study	NA	"Rv0007, (MTCY10H4.05), len: 304 aa. Possible conserved membrane protein. A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al.,2004)."	1	11	Possible conserved membrane protein	CCP42729.1	UniProtKB/Swiss-Prot:P71575	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	11874	12311	438	-	NA	Rv0008c	EXISTENCE: identified in proteomics study	NA	Rv0008c, (MTCY10H4.07c), len: 145 aa. Possible membrane protein.	1	11	Possible membrane protein	CCP42730.1	UniProtKB/Swiss-Prot:P71577	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	12468	13016	549	+	ppiA	Rv0009	EXISTENCE: identified in proteomics study	NA	Rv0009, (MTCY10H4.08), len: 182 aa. Probable ppiA (alternate gene name: cfp22), iron-regulated peptidyl-prolyl cis-trans isomerase A. Belongs to the cyclophilin-type PPIase family. Alternative start codon has been suggested.	1	11	Probable iron-regulated peptidyl-prolyl cis-trans isomerase A PpiA (PPIase A) (rotamase A)	CCP42731.1	UniProtKB/Swiss-Prot:P65762	cfp22	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	13133	13558	426	-	NA	Rv0010c	EXISTENCE: identified in proteomics study	NA	"Rv0010c, (MTCY10H4.10c), len: 141 aa. Probable conserved membrane protein. Belongs to superfamily DUF2581,conserved in the Actinomycetales. A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004)."	1	11	Probable conserved membrane protein	CCP42732.1	UniProtKB/Swiss-Prot:P71580	NA	NA	NA	NA	NA	NA	NA	NA	NA
